school,graduatesNumb,RussianLang,MathBase,mathProf,Biology% ,Phisic% ,Cemic% ,literature%
, ,100,100,5,100,100,100,100
МБОУ «Жердевская СОШ»,46,70,33,4,21,41,63,21
МБОУ Туголуковская СОШ,11,65,64,4,34,5,27,27
МБОУ «Знаменская СОШ»,46,65,11,4,35,61,32,61
Новолядинская СОШ,57,70,74,4,45,48,94,22
Цнинская № 1,36,65,17,4,31,40,73,22
Сатинская СОШ,44,74,5,4,44,47,@39,15
Никифоровская СОШ №1,36,67,94,4,18,38,81,11
Стрелецкая СОШ,14,61,64,3,79,29,38,14
Платоновская СОШ,18,67,78,3,69,38,75,16
Кочетовская СОШ,17,69,6,4,39,2,23,53
МБОУ Пичаевская СОШ,14,62,57,4,29,30,91,35
МБОУ Никифоровская СОШ №2 (р.п. Дмитриевка),34,68,56,4,36,37,74,17
Ржаксинская СОШ №1,28,54,46,3,46,28,43,28
Сосновская СОШ №1,36,72,25,4,34,39,38,30
Староюрьевская СОШ,32,72,78,4,32,50,61,15
Покрово-Пригородная СОШ,13,61,31,4,38,43,38,15
МБОУ Токаревская СОШ №1,41,69,66,4,25,40,39,17
,0,0,0,0,0,0,0,0
